İsim, Klasör, User, Repo, Aralık, Kapak, Banner, Tür, Durum, Yazar, Özet, Puan, Tarih, Kilitli, KilitliBolumSayisi
Ölüm Paktı, ., S1, S1, 1-8, kapaklar/olum-pakti.jpg, , Aksiyon-Macera-Seinen, Devam Ediyor, D3Manga, Min-Ho prestijli okulunda sudan çıkmış balığa dönmüştür. Sınıf arkadaşları tarafından kan revan içinde kalana kadar dövüldükten sonra artık kırılma noktasına gelmiştir. Korunmaya ihtiyacı vardır yoksa işi biter. Şanslıdır ki gizemli bir adam olan Kang U-Hyeok tam da doğru zamanda doğru yerde bulunmaktadır. Görünüşte birbirinden tamamen farklı olan bu iki insanın birbirlerine yardım sağlayacak bir nedenleri vardır. U-Hyeok Min-Ho'nun koruması olabilir ve Min-Ho da... U-Hyeok'un ölme arzusunu yerine getirebilir!, 6.2, 11.02.2026, evet, 2
Sessiz Ay, ., S2, S2, 1-40, kapaklar/sessiz-ay.jpg, , Aksiyon-Macera-Korku, Tamamlandı, D3Manga, Ölümün ve dinginliğin sustuğu bir yer. Esrarengiz bir adada hayatta kalma mücadelesi başlıyor., 5.9, 3.01.2026, evet, 3
Kız Arkadaşım, ., S6, S6, 1-47, kapaklar/kiz-arkadasim.jpg, , Korku-Gizem-Psikolojik, Tamamlandı, D3Manga, Bir gün Jio kız arkadaşı Miho'nun insan eti yediğini görünce dehşete düşer. Bu nasıl olabilir? Jio panik içindedir şüpheyle boğuşur akıl sağlığını korumaya çalışır. Miho gerçekten bir canavar mı yoksa?, 6.8, 1.01.2026, hayır, 0
Okula Asteroit Düştüğü Gün, ., S5, S5, 1-40, kapaklar/okula-asteroit.jpg, , Aksiyon-Korku-Macera, Tamamlandı, D3Manga, Her zamanki gibi görünen sıradan bir günde garip bir göktaşı bir okula düşer. Göktaşından yayılan parazitler öğrencileri enfekte etmeye başlar ve onları canavarlara dönüştürür. Bu dehşet verici dizide öğrenciler hayatta kalabilmek için canavarlarla umutsuz bir savaşa girmek zorundadır., 6.5, 2.01.2026, hayır, 0
DeathCord, ., S3, S3, 1-45, kapaklar/olum-kodu.jpg, , Psikolojik-Gerilim-Gizem, Tamamlandı, Ayatoon-D3Manga, Arkadaşları tarafından zorbalığa uğrayan Kyungmin bir şekilde birini öldürmek için oy kullanabileceğiniz Deathcord adlı bir grup sohbetine davet ediliyor. Grup sohbetinde üyelerin hepsi anonimdir ve herkes birinin infazı için oy kullanabilir!, 6.5, 3.01.2026, evet, 5
Efsunger, ., S4, S4, 1-20, kapaklar/efsunger.jpg, , Aksiyon-Macera-Fantastik, Tamamlandı, Tortuga-D3, Geralt of Rivia Black Forest (Kara Orman) olarak bilinen gizemli ve tehlikeli bir bölgede yol alırken Jacob adlı yaşlı ve tuhaf bir adamla karşılaşır. Jacob Geralt'ı bir iş için işe almaya çalışır - bir canavar avı değil sadece kendisine eşlik etmesi için., 7.0, 1.01.2026, evet, 20
